iodepth,bs,rw,,usr_cpu,write_clat,read_clat,read_runtime,sys_cpu,write_slat,write_runtime,write_bw,read_io_bytes,write_io_bytes,error,read_slat,write_iops,read_iops,read_bw
128,16K,randread,,0.96,0.00,142405.42,72928,2.56,0.00,0,0,1048576,0,0,21.31,0,898,14378
128,16K,randwrite,,0.98,184381.64,0.00,0,2.19,22.52,94422,11105,0,1048576,0,0.00,694,0,0
128,16K,read,,1.55,0.00,72502.04,37133,3.83,0.00,0,0,1048576,0,0,16.70,0,1764,28238
128,16K,write,,0.68,258000.67,0.00,0,1.83,22.36,132114,7936,0,1048576,0,0.00,496,0,0
128,1M,randread,,0.00,0.00,1074465.25,8781,1.28,0.00,0,0,1048576,0,0,8012.28,0,116,119414
128,1M,randwrite,,1.14,863205.62,0.00,0,1.02,6355.98,7045,148839,0,1048576,0,0.00,145,0,0
128,1M,read,,0.08,0.00,637155.44,5216,1.99,0.00,0,0,1048576,0,0,4709.35,0,196,201030
128,1M,write,,1.08,768956.88,0.00,0,1.15,5721.62,6270,167237,0,1048576,0,0.00,163,0,0
128,256K,randread,,0.43,0.00,318764.62,10211,2.43,0.00,0,0,1048576,0,0,37.08,0,401,102690
128,256K,randwrite,,1.47,349181.53,0.00,0,1.50,47.41,11181,93781,0,1048576,0,0.00,366,0,0
128,256K,read,,0.15,0.00,162611.67,5215,4.14,0.00,0,0,1048576,0,0,40.39,0,785,201069
128,256K,write,,1.20,302500.34,0.00,0,2.07,47.84,9686,108256,0,1048576,0,0.00,422,0,0
128,2K,randread,,1.06,0.00,131187.70,537443,2.47,0.00,0,0,1048576,0,0,18.68,0,975,1951
128,2K,randwrite,,0.97,172880.84,0.00,0,2.10,18.92,708225,1480,0,1048576,0,0.00,740,0,0
128,2K,read,,1.65,0.00,69022.97,282791,3.52,0.00,0,0,1048576,0,0,14.17,0,1853,3707
128,2K,write,,0.62,284157.38,0.00,0,1.53,19.42,1164012,900,0,1048576,0,0.00,450,0,0
128,4K,randread,,1.09,0.00,135252.94,277048,2.35,0.00,0,0,1048576,0,0,18.49,0,946,3784
128,4K,randwrite,,0.95,174567.92,0.00,0,2.11,19.00,357569,2932,0,1048576,0,0.00,733,0,0
128,4K,read,,1.60,0.00,69294.85,141951,3.34,0.00,0,0,1048576,0,0,13.45,0,1846,7386
128,4K,write,,0.65,254313.06,0.00,0,1.81,23.30,520894,2013,0,1048576,0,0.00,503,0,0
128,512,randread,,1.11,0.00,128043.86,2098249,2.44,0.00,0,0,1048576,0,0,18.10,0,999,499
128,512,randwrite,,0.97,172836.72,0.00,0,2.08,19.05,2832165,370,0,1048576,0,0.00,740,0,0
128,512,read,,1.62,0.00,68727.95,1126315,3.41,0.00,0,0,1048576,0,0,13.66,0,1861,930
128,512,write,,0.57,322079.88,0.00,0,1.35,19.42,5277361,198,0,1048576,0,0.00,397,0,0
128,64K,randread,,0.80,0.00,172725.81,22117,2.71,0.00,0,0,1048576,0,0,25.69,0,740,47410
128,64K,randwrite,,0.93,214024.33,0.00,0,2.54,27.25,27404,38263,0,1048576,0,0.00,597,0,0
128,64K,read,,1.73,0.00,75997.88,9735,4.52,0.00,0,0,1048576,0,0,25.76,0,1682,107711
128,64K,write,,1.34,167606.05,0.00,0,2.40,29.15,21461,48859,0,1048576,0,0.00,763,0,0
16,16K,randread,,0.94,0.00,19858.36,81445,2.29,0.00,0,0,1048576,0,0,20.69,0,804,12874
16,16K,randwrite,,0.98,22290.10,0.00,0,2.00,21.86,91413,11470,0,1048576,0,0.00,716,0,0
16,16K,read,,11.05,0.00,1291.36,5360,21.27,0.00,0,0,1048576,0,0,13.65,0,12226,195629
16,16K,write,,12.43,1261.05,0.00,0,22.88,16.11,5245,199919,0,1048576,0,0.00,12494,0,0
16,1M,randread,,0.09,0.00,143307.41,9189,1.31,0.00,0,0,1048576,0,0,91.98,0,111,114112
16,1M,randwrite,,1.25,105047.31,0.00,0,1.19,126.71,6739,155598,0,1048576,0,0.00,151,0,0
16,1M,read,,0.08,0.00,81129.82,5207,2.31,0.00,0,0,1048576,0,0,88.56,0,196,201378
16,1M,write,,2.06,81570.69,0.00,0,1.15,132.69,5235,200301,0,1048576,0,0.00,195,0,0
16,256K,randread,,0.65,0.00,43311.36,11103,1.91,0.00,0,0,1048576,0,0,34.80,0,368,94440
16,256K,randwrite,,1.28,46304.16,0.00,0,1.28,44.70,11871,88330,0,1048576,0,0.00,345,0,0
16,256K,read,,0.61,0.00,20288.14,5207,3.76,0.00,0,0,1048576,0,0,38.11,0,786,201378
16,256K,write,,3.06,20384.54,0.00,0,2.06,46.60,5234,200339,0,1048576,0,0.00,782,0,0
16,2K,randread,,1.00,0.00,18373.27,602772,2.21,0.00,0,0,1048576,0,0,17.08,0,869,1739
16,2K,randwrite,,0.89,21089.95,0.00,0,2.22,21.95,691966,1515,0,1048576,0,0.00,757,0,0
16,2K,read,,13.27,0.00,157.04,5365,67.34,0.00,0,0,1048576,0,0,5.58,0,97723,195447
16,2K,write,,15.23,168.59,0.00,0,62.67,5.01,5726,183125,0,1048576,0,0.00,91562,0,0
16,4K,randread,,0.99,0.00,18523.12,303842,2.21,0.00,0,0,1048576,0,0,17.11,0,862,3451
16,4K,randwrite,,0.98,21251.17,0.00,0,1.86,17.77,348555,3008,0,1048576,0,0.00,752,0,0
16,4K,read,,4.69,0.00,322.45,5379,40.98,0.00,0,0,1048576,0,0,4.55,0,48734,194938
16,4K,write,,11.66,314.03,0.00,0,38.04,4.98,5248,199804,0,1048576,0,0.00,49951,0,0
16,512,randread,,1.06,0.00,18256.58,2395873,2.20,0.00,0,0,1048576,0,0,17.70,0,875,437
16,512,randwrite,,0.94,21033.86,0.00,0,1.94,17.53,2759904,379,0,1048576,0,0.00,759,0,0
16,512,read,,19.30,0.00,116.74,16253,79.60,0.00,0,0,1048576,0,0,5.16,0,129031,64515
16,512,write,,19.48,120.00,0.00,0,80.21,6.59,16718,62721,0,1048576,0,0.00,125442,0,0
16,64K,randread,,0.56,0.00,24922.27,25554,2.74,0.00,0,0,1048576,0,0,24.95,0,641,41033
16,64K,randwrite,,1.14,27410.43,0.00,0,1.82,28.09,28106,37307,0,1048576,0,0.00,582,0,0
16,64K,read,,0.85,0.00,5056.73,5206,9.91,0.00,0,0,1048576,0,0,23.66,0,3147,201416
16,64K,write,,3.05,5218.01,0.00,0,10.48,33.22,5382,194830,0,1048576,0,0.00,3044,0,0
1,16K,randread,,0.29,0.00,2820.18,186532,0.84,0.00,0,0,1048576,0,0,19.81,0,351,5621
1,16K,randwrite,,0.52,1224.95,0.00,0,2.20,25.41,82255,12747,0,1048576,0,0.00,796,0,0
1,16K,read,,4.01,0.00,69.36,5486,16.70,0.00,0,0,1048576,0,0,11.62,0,11946,191136
1,16K,write,,6.01,67.22,0.00,0,18.18,14.16,5525,189787,0,1048576,0,0.00,11861,0,0
1,1M,randread,,0.26,0.00,8793.05,9103,0.88,0.00,0,0,1048576,0,0,89.36,0,112,115190
1,1M,randwrite,,0.78,7869.84,0.00,0,0.98,127.43,8196,127937,0,1048576,0,0.00,124,0,0
1,1M,read,,0.31,0.00,4989.32,5207,1.69,0.00,0,0,1048576,0,0,90.40,0,196,201378
1,1M,write,,0.76,5006.08,0.00,0,1.83,122.92,5258,199424,0,1048576,0,0.00,194,0,0
1,256K,randread,,0.21,0.00,4170.55,17260,0.95,0.00,0,0,1048576,0,0,36.95,0,237,60751
1,256K,randwrite,,0.94,2641.64,0.00,0,1.16,44.83,11030,95065,0,1048576,0,0.00,371,0,0
1,256K,read,,0.38,0.00,1231.97,5216,3.14,0.00,0,0,1048576,0,0,37.78,0,785,201030
1,256K,write,,1.15,1225.26,0.00,0,3.21,46.33,5232,200415,0,1048576,0,0.00,782,0,0
1,2K,randread,,0.35,0.00,2772.59,1466481,0.76,0.00,0,0,1048576,0,0,18.10,0,357,715
1,2K,randwrite,,0.56,1179.32,0.00,0,2.19,22.62,633102,1656,0,1048576,0,0.00,828,0,0
1,2K,read,,8.16,0.00,38.17,26291,22.37,0.00,0,0,1048576,0,0,9.52,0,19941,39883
1,2K,write,,8.95,39.39,0.00,0,21.77,9.89,27182,38576,0,1048576,0,0.00,19288,0,0
1,4K,randread,,0.34,0.00,2768.39,732103,0.77,0.00,0,0,1048576,0,0,18.01,0,358,1432
1,4K,randwrite,,0.55,1180.60,0.00,0,1.99,20.04,316200,3316,0,1048576,0,0.00,829,0,0
1,4K,read,,7.68,0.00,41.51,14175,22.32,0.00,0,0,1048576,0,0,9.99,0,18493,73973
1,4K,write,,6.82,44.69,0.00,0,23.67,13.02,15783,66437,0,1048576,0,0.00,16609,0,0
1,512,randread,,0.35,0.00,2771.97,5864993,0.77,0.00,0,0,1048576,0,0,18.27,0,357,178
1,512,randwrite,,0.60,1180.00,0.00,0,1.95,20.08,2528433,414,0,1048576,0,0.00,829,0,0
1,512,read,,12.36,0.00,31.13,86573,20.48,0.00,0,0,1048576,0,0,7.35,0,24224,12112
1,512,write,,10.48,34.78,0.00,0,21.25,8.98,97246,10782,0,1048576,0,0.00,21565,0,0
1,64K,randread,,0.26,0.00,3096.04,51202,0.86,0.00,0,0,1048576,0,0,22.91,0,319,20479
1,64K,randwrite,,0.93,1461.78,0.00,0,1.55,26.89,24479,42835,0,1048576,0,0.00,669,0,0
1,64K,read,,0.92,0.00,290.15,5206,8.68,0.00,0,0,1048576,0,0,25.01,0,3147,201416
1,64K,write,,3.82,288.02,0.00,0,6.88,28.51,5232,200415,0,1048576,0,0.00,3131,0,0
32,16K,randread,,0.86,0.00,36170.91,74132,2.53,0.00,0,0,1048576,0,0,20.72,0,884,14144
32,16K,randwrite,,0.98,44555.03,0.00,0,2.19,22.54,91309,11483,0,1048576,0,0.00,717,0,0
32,16K,read,,9.36,0.00,2529.79,5217,24.23,0.00,0,0,1048576,0,0,13.78,0,12562,200992
32,16K,write,,8.02,2656.67,0.00,0,27.27,18.74,5486,191136,0,1048576,0,0.00,11946,0,0
32,1M,randread,,0.04,0.00,282066.22,9043,1.46,0.00,0,0,1048576,0,0,97.78,0,113,115954
32,1M,randwrite,,0.91,206036.50,0.00,0,1.64,131.77,6606,158730,0,1048576,0,0.00,155,0,0
32,1M,read,,0.23,0.00,162279.22,5207,2.23,0.00,0,0,1048576,0,0,95.01,0,196,201378
32,1M,write,,1.99,163083.44,0.00,0,1.38,140.46,5231,200454,0,1048576,0,0.00,195,0,0
32,256K,randread,,0.56,0.00,83286.85,10671,2.17,0.00,0,0,1048576,0,0,36.97,0,383,98264
32,256K,randwrite,,1.33,89371.55,0.00,0,1.40,46.05,11451,91570,0,1048576,0,0.00,357,0,0
32,256K,read,,0.31,0.00,40603.49,5206,4.00,0.00,0,0,1048576,0,0,38.52,0,786,201416
32,256K,write,,2.68,40811.36,0.00,0,2.75,47.32,5233,200377,0,1048576,0,0.00,782,0,0
32,2K,randread,,1.05,0.00,33188.93,544117,2.27,0.00,0,0,1048576,0,0,16.78,0,963,1927
32,2K,randwrite,,0.94,42636.75,0.00,0,2.04,18.43,698951,1500,0,1048576,0,0.00,750,0,0
32,2K,read,,14.57,0.00,311.61,5217,68.71,0.00,0,0,1048576,0,0,5.66,0,100496,200992
32,2K,write,,16.07,343.29,0.00,0,62.05,4.98,5725,183157,0,1048576,0,0.00,91578,0,0
32,4K,randread,,1.07,0.00,33567.75,275169,2.33,0.00,0,0,1048576,0,0,17.44,0,952,3810
32,4K,randwrite,,0.97,43059.34,0.00,0,1.95,18.82,352943,2970,0,1048576,0,0.00,742,0,0
32,4K,read,,4.87,0.00,645.73,5338,41.60,0.00,0,0,1048576,0,0,4.58,0,49109,196436
32,4K,write,,16.33,636.57,0.00,0,33.35,4.95,5267,199084,0,1048576,0,0.00,49771,0,0
32,512,randread,,1.06,0.00,32867.81,2155453,2.32,0.00,0,0,1048576,0,0,17.29,0,972,486
32,512,randwrite,,0.95,42765.47,0.00,0,2.03,18.57,2804236,373,0,1048576,0,0.00,747,0,0
32,512,read,,19.52,0.00,238.60,16107,79.03,0.00,0,0,1048576,0,0,5.48,0,130201,65100
32,512,write,,17.95,244.17,0.00,0,81.68,6.47,16489,63592,0,1048576,0,0.00,127184,0,0
32,64K,randread,,0.77,0.00,45908.59,23523,2.64,0.00,0,0,1048576,0,0,25.77,0,696,44576
32,64K,randwrite,,1.13,53392.50,0.00,0,2.16,27.43,27358,38327,0,1048576,0,0.00,598,0,0
32,64K,read,,2.91,0.00,10161.60,5218,8.05,0.00,0,0,1048576,0,0,24.58,0,3139,200953
32,64K,write,,3.35,10215.54,0.00,0,9.22,29.20,5248,199804,0,1048576,0,0.00,3121,0,0
4,16K,randread,,0.94,0.00,6655.41,109471,2.14,0.00,0,0,1048576,0,0,20.14,0,598,9578
4,16K,randwrite,,0.86,5298.23,0.00,0,2.17,21.79,87240,12019,0,1048576,0,0.00,751,0,0
4,16K,read,,10.06,0.00,301.25,5211,22.80,0.00,0,0,1048576,0,0,13.37,0,12576,201223
4,16K,write,,9.76,306.22,0.00,0,26.44,18.70,5372,195192,0,1048576,0,0.00,12199,0,0
4,1M,randread,,0.05,0.00,34152.26,8773,1.37,0.00,0,0,1048576,0,0,87.40,0,116,119523
4,1M,randwrite,,1.03,28721.45,0.00,0,0.97,112.51,7389,141910,0,1048576,0,0.00,138,0,0
4,1M,read,,0.23,0.00,20221.07,5205,2.08,0.00,0,0,1048576,0,0,85.18,0,196,201455
4,1M,write,,1.30,20264.66,0.00,0,1.46,112.06,5222,200799,0,1048576,0,0.00,196,0,0
4,256K,randread,,0.21,0.00,13023.37,13381,1.91,0.00,0,0,1048576,0,0,35.48,0,306,78363
4,256K,randwrite,,1.03,11654.57,0.00,0,1.40,43.04,11986,87483,0,1048576,0,0.00,341,0,0
4,256K,read,,0.54,0.00,5041.08,5207,4.00,0.00,0,0,1048576,0,0,38.08,0,786,201378
4,256K,write,,3.06,5052.54,0.00,0,2.29,49.72,5231,200454,0,1048576,0,0.00,783,0,0
4,2K,randread,,0.99,0.00,6322.09,831808,2.04,0.00,0,0,1048576,0,0,18.18,0,630,1260
4,2K,randwrite,,0.91,5023.56,0.00,0,2.23,21.22,661854,1584,0,1048576,0,0.00,792,0,0
4,2K,read,,16.11,0.00,33.24,5215,66.44,0.00,0,0,1048576,0,0,5.44,0,100534,201069
4,2K,write,,12.94,37.76,0.00,0,70.34,6.30,5938,176587,0,1048576,0,0.00,88293,0,0
4,4K,randread,,0.97,0.00,6344.65,417373,2.04,0.00,0,0,1048576,0,0,18.05,0,628,2512
4,4K,randwrite,,0.94,5069.72,0.00,0,1.93,17.33,333693,3142,0,1048576,0,0.00,785,0,0
4,4K,read,,4.98,0.00,73.94,5221,41.92,0.00,0,0,1048576,0,0,4.50,0,50209,200838
4,4K,write,,15.90,76.54,0.00,0,35.87,5.90,5487,191101,0,1048576,0,0.00,47775,0,0
4,512,randread,,0.98,0.00,6306.14,3318947,2.07,0.00,0,0,1048576,0,0,18.31,0,631,315
4,512,randwrite,,0.87,5120.10,0.00,0,2.22,21.09,2697919,388,0,1048576,0,0.00,777,0,0
4,512,read,,19.25,0.00,23.52,16102,79.70,0.00,0,0,1048576,0,0,5.48,0,130241,65120
4,512,write,,17.88,24.47,0.00,0,81.75,6.61,16798,62422,0,1048576,0,0.00,124845,0,0
4,64K,randread,,0.82,0.00,8055.75,33122,1.99,0.00,0,0,1048576,0,0,23.73,0,494,31657
4,64K,randwrite,,1.21,6572.29,0.00,0,1.85,27.64,27057,38754,0,1048576,0,0.00,605,0,0
4,64K,read,,2.23,0.00,1242.98,5207,8.99,0.00,0,0,1048576,0,0,25.58,0,3146,201378
4,64K,write,,4.35,1247.28,0.00,0,8.24,29.43,5242,200033,0,1048576,0,0.00,3125,0,0
64,16K,randread,,0.92,0.00,68001.36,69662,2.58,0.00,0,0,1048576,0,0,20.93,0,940,15052
64,16K,randwrite,,0.98,90492.72,0.00,0,2.21,22.63,92697,11311,0,1048576,0,0.00,706,0,0
64,16K,read,,10.50,0.00,5080.03,5221,23.07,0.00,0,0,1048576,0,0,13.68,0,12552,200838
64,16K,write,,6.88,5713.99,0.00,0,26.15,18.64,5874,178511,0,1048576,0,0.00,11156,0,0
64,1M,randread,,0.09,0.00,554250.44,8889,1.44,0.00,0,0,1048576,0,0,101.99,0,115,117963
64,1M,randwrite,,1.50,416371.50,0.00,0,1.08,136.63,6674,157113,0,1048576,0,0.00,153,0,0
64,1M,read,,0.46,0.00,324490.66,5213,2.07,0.00,0,0,1048576,0,0,99.57,0,196,201146
64,1M,write,,1.47,390751.44,0.00,0,1.34,137.29,6264,167397,0,1048576,0,0.00,163,0,0
64,256K,randread,,0.46,0.00,163226.14,10456,2.22,0.00,0,0,1048576,0,0,34.97,0,391,100284
64,256K,randwrite,,1.33,178144.75,0.00,0,1.44,43.74,11410,91899,0,1048576,0,0.00,358,0,0
64,256K,read,,0.77,0.00,81213.98,5206,3.84,0.00,0,0,1048576,0,0,38.83,0,786,201416
64,256K,write,,2.37,81577.73,0.00,0,2.83,47.98,5227,200607,0,1048576,0,0.00,783,0,0
64,2K,randread,,1.08,0.00,62108.34,509078,2.48,0.00,0,0,1048576,0,0,17.42,0,1029,2059
64,2K,randwrite,,0.96,85465.95,0.00,0,2.09,18.66,700337,1497,0,1048576,0,0.00,748,0,0
64,2K,read,,5.78,0.00,1007.47,8300,52.68,0.00,0,0,1048576,0,0,4.44,0,63167,126334
64,2K,write,,13.16,892.18,0.00,0,51.93,4.57,7357,142527,0,1048576,0,0.00,71263,0,0
64,4K,randread,,1.11,0.00,63030.16,258263,2.37,0.00,0,0,1048576,0,0,17.38,0,1015,4060
64,4K,randwrite,,0.95,86166.21,0.00,0,2.13,19.09,353041,2970,0,1048576,0,0.00,742,0,0
64,4K,read,,7.86,0.00,1273.24,5240,39.78,0.00,0,0,1048576,0,0,4.59,0,50027,200109
64,4K,write,,14.62,1435.28,0.00,0,33.85,5.93,5909,177454,0,1048576,0,0.00,44363,0,0
64,512,randread,,1.11,0.00,61284.23,2008885,2.48,0.00,0,0,1048576,0,0,17.50,0,1043,521
64,512,randwrite,,0.96,85912.77,0.00,0,2.11,19.13,2815996,372,0,1048576,0,0.00,744,0,0
64,512,read,,12.40,0.00,862.80,28457,54.16,0.00,0,0,1048576,0,0,4.42,0,73695,36847
64,512,write,,9.56,858.92,0.00,0,57.24,4.51,28332,37010,0,1048576,0,0.00,74020,0,0
64,64K,randread,,0.63,0.00,86130.78,22060,2.74,0.00,0,0,1048576,0,0,25.98,0,742,47532
64,64K,randwrite,,1.23,106598.32,0.00,0,2.10,27.18,27302,38406,0,1048576,0,0.00,600,0,0
64,64K,read,,1.53,0.00,20326.77,5213,9.59,0.00,0,0,1048576,0,0,25.28,0,3142,201146
64,64K,write,,4.28,20419.37,0.00,0,8.02,28.38,5237,200224,0,1048576,0,0.00,3128,0,0
8,16K,randread,,0.96,0.00,11285.68,92669,2.33,0.00,0,0,1048576,0,0,20.66,0,707,11315
8,16K,randwrite,,0.92,11082.34,0.00,0,2.03,21.53,91005,11522,0,1048576,0,0.00,720,0,0
8,16K,read,,11.06,0.00,640.73,5388,20.94,0.00,0,0,1048576,0,0,13.48,0,12163,194613
8,16K,write,,10.51,622.07,0.00,0,24.52,16.07,5254,199576,0,1048576,0,0.00,12473,0,0
8,1M,randread,,0.04,0.00,69686.77,8941,1.34,0.00,0,0,1048576,0,0,86.92,0,114,117277
8,1M,randwrite,,0.85,55285.60,0.00,0,1.46,128.11,7100,147686,0,1048576,0,0.00,144,0,0
8,1M,read,,0.00,0.00,40544.94,5209,2.46,0.00,0,0,1048576,0,0,91.61,0,196,201300
8,1M,write,,1.84,40708.51,0.00,0,1.22,120.76,5232,200415,0,1048576,0,0.00,195,0,0
8,256K,randread,,0.37,0.00,23088.52,11847,2.06,0.00,0,0,1048576,0,0,35.75,0,345,88509
8,256K,randwrite,,1.06,23520.06,0.00,0,1.42,43.58,12072,86860,0,1048576,0,0.00,339,0,0
8,256K,read,,0.00,0.00,10136.04,5213,4.22,0.00,0,0,1048576,0,0,38.76,0,785,201146
8,256K,write,,2.79,10252.64,0.00,0,2.79,52.54,5309,197509,0,1048576,0,0.00,771,0,0
8,2K,randread,,1.01,0.00,10554.37,693207,2.18,0.00,0,0,1048576,0,0,17.84,0,756,1512
8,2K,randwrite,,0.87,10485.68,0.00,0,1.90,16.91,688612,1522,0,1048576,0,0.00,761,0,0
8,2K,read,,13.01,0.00,73.17,5228,69.10,0.00,0,0,1048576,0,0,5.51,0,100284,200569
8,2K,write,,14.59,82.59,0.00,0,69.32,6.57,5921,177094,0,1048576,0,0.00,88547,0,0
8,4K,randread,,1.04,0.00,10611.25,348485,2.19,0.00,0,0,1048576,0,0,18.16,0,752,3008
8,4K,randwrite,,0.90,10562.16,0.00,0,1.85,17.09,346819,3023,0,1048576,0,0.00,755,0,0
8,4K,read,,4.05,0.00,153.88,5231,42.52,0.00,0,0,1048576,0,0,4.49,0,50113,200454
8,4K,write,,17.64,153.59,0.00,0,32.15,4.95,5239,200148,0,1048576,0,0.00,50037,0,0
8,512,randread,,1.02,0.00,10524.87,2765114,2.16,0.00,0,0,1048576,0,0,17.97,0,758,379
8,512,randwrite,,0.91,10591.02,0.00,0,1.88,17.26,2782174,376,0,1048576,0,0.00,753,0,0
8,512,read,,17.98,0.00,53.97,16023,80.94,0.00,0,0,1048576,0,0,5.64,0,130883,65441
8,512,write,,16.79,55.47,0.00,0,82.90,6.49,16489,63592,0,1048576,0,0.00,127184,0,0
8,64K,randread,,0.87,0.00,14087.06,28913,2.24,0.00,0,0,1048576,0,0,23.74,0,566,36266
8,64K,randwrite,,1.17,13821.40,0.00,0,1.69,28.09,28377,36951,0,1048576,0,0.00,577,0,0
8,64K,read,,1.84,0.00,2517.40,5215,9.44,0.00,0,0,1048576,0,0,25.79,0,3141,201069
8,64K,write,,3.22,2514.31,0.00,0,9.21,28.91,5215,201069,0,1048576,0,0.00,3141,0,0
